연번,평일주말,호선,역번호,역명,구분,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
7.0,평일,1,159,동묘앞,상행,23.35,23.95,23.5,28.85,27.0,30.75,36.45,42.75,75.1,37.45,30.0,34.65,27.35,22.1
8.0,평일,1,159,동묘앞,하행,33.099999999999994,26.55,32.05,31.349999999999998,30.2,38.349999999999994,33.35,38.0,34.85,17.9,14.7,13.75,11.9,8.1
41.0,평일,2,201,시청,상행,36.45,37.45,41.95,39.849999999999994,37.9,41.599999999999994,47.35,54.0,61.1,31.05,24.799999999999997,38.25,41.5,30.15
42.0,평일,2,201,시청,하행,27.75,34.2,33.75,37.7,38.35,44.900000000000006,50.1,73.4,107.9,60.8,57.849999999999994,47.25,60.0,27.4
39.0,평일,2,202,을지로입구,상행,31.1,35.5,38.900000000000006,41.400000000000006,39.7,45.35,50.849999999999994,64.0,78.85,38.25,31.75,44.55,45.849999999999994,36.35
40.0,평일,2,202,을지로입구,하행,28.099999999999998,32.95,34.3,35.55,36.599999999999994,41.9,46.6,67.4,94.75,52.45,54.0,42.55,55.3,25.75
37.0,평일,2,203,을지로3가,상행,30.099999999999998,34.25,37.95,39.55,38.5,44.0,50.25,67.55000000000001,77.6,39.3,30.1,46.4,45.5,36.5
38.0,평일,2,203,을지로3가,하행,32.45,35.1,35.349999999999994,36.650000000000006,36.0,39.55,43.599999999999994,58.1,78.6,43.8,42.3,36.85,44.3,21.0
35.0,평일,2,204,을지로4가,상행,29.85,34.55,38.4,41.0,39.95,47.05,54.349999999999994,73.85,84.85,42.849999999999994,31.5,48.05,47.7,37.1
36.0,평일,2,204,을지로4가,하행,30.65,33.6,33.55,34.35,33.05,36.65,41.2,51.599999999999994,68.35,39.650000000000006,40.3,33.7,40.0,18.9
33.0,평일,2,205,동대문역사문화공원,상행,35.900000000000006,41.05,44.35,47.75,45.55,51.5,59.05,80.05,84.0,41.0,30.5,44.5,43.9,33.25
34.0,평일,2,205,동대문역사문화공원,하행,31.8,34.6,36.150000000000006,34.849999999999994,34.45,38.099999999999994,41.2,49.95,66.80000000000001,38.7,40.1,33.849999999999994,40.150000000000006,19.2
31.0,평일,2,206,신당,상행,36.95,41.1,46.35,47.7,46.45,52.95,60.75,79.65,79.44999999999999,40.05,28.55,40.8,42.7,32.650000000000006
32.0,평일,2,206,신당,하행,34.349999999999994,37.35,39.2,38.7,39.1,44.9,46.5,56.900000000000006,80.95,49.25,51.4,43.45,47.8,22.75
29.0,평일,2,207,상왕십리,상행,37.1,41.2,46.75,47.55,46.099999999999994,52.4,59.75,77.80000000000001,77.8,38.6,27.5,39.1,40.65,30.5
30.0,평일,2,207,상왕십리,하행,34.2,37.7,39.4,37.75,39.650000000000006,46.650000000000006,47.6,59.95,85.19999999999999,51.3,53.4,44.75,46.95,23.65
27.0,평일,2,208,왕십리,상행,33.95,35.45,39.0,38.95,37.8,38.5,41.6,51.55,51.9,25.3,17.9,24.15,26.6,21.15
28.0,평일,2,208,왕십리,하행,33.15,36.7,38.8,37.4,39.75,47.0,48.05,61.1,84.55,53.5,53.4,47.45,46.5,23.85
25.0,평일,2,209,한양대,상행,24.6,32.650000000000006,33.099999999999994,34.9,35.7,40.0,43.55,54.5,53.5,26.15,17.9,25.6,26.75,21.1
26.0,평일,2,209,한양대,하행,21.6,26.200000000000003,29.1,28.95,31.65,39.25,40.2,51.650000000000006,74.30000000000001,43.95,48.4,41.7,38.35,18.5
23.0,평일,2,210,뚝섬,상행,21.25,29.55,31.049999999999997,32.75,34.45,39.4,43.05,56.1,58.5,27.75,19.700000000000003,27.950000000000003,28.3,21.7
24.0,평일,2,210,뚝섬,하행,24.85,25.75,30.0,27.9,28.75,34.8,34.349999999999994,46.25,68.94999999999999,40.65,44.25,37.9,33.05,17.5
